word,score
now,0.484833333
get,0.533333333
crack,0.6111
guy,0.633333333
pretty,0.948733333
much,0.666666667
sums,0.518533333
love,1
affair,0.416666667
made,0.666666667
easy,0.777766667
switch,0.5238
see,0.777766667
yeah,0.925933333
the,0.583333333
things,0.5926
said,0.666666667
far,0.5
i,0.791666667
glad,0.916666667
gave,0.7143
sense,0.8788
humor,0.8889
via,0.5
great,0.875
close,0.5926
personal,0.7143
event,0.791666667
tonight,0.791666667
st,0.6111
store,0.625
from,0.533333333
companies,0.533333333
experience,0.8
best,0.8485
customer,0.5
service,0.666666667
aside,0.571433333
just,0.666666667
apply,0.6111
job,0.766666667
hope,1
call,0.666666667
laughing,0.952366667
loud,0.4074
think,0.708333333
onto,0.380966667
something,0.666666667
magical,0.952366667
dying,0.393933333
suggested,0.666666667
find,0.777766667
hide,0.533333333
body,0.708333333
saying,0.666666667
registered,0.722233333
here,0.555566667
hoping,0.733333333
actually,0.555566667
any,0.466666667
help,0.666666667
greatly,0.857133333
appreciated,0.8889
wow,0.866666667
deals,0.6389
first,0.75
models,0.766666667
offers,0.666666667
currently,0.555566667
learning,0.733333333
trip,0.722233333
got,0.5
thanks,0.809533333
hand,0.571433333
useful,0.925933333
come,0.533333333
dark,0.481466667
side,0.545466667
hey,0.666666667
send,0.809533333
free,0.791666667
publicly,0.4762
burn,0.333333333
version,0.5926
garden,0.555566667
lunch,0.722233333
break,0.333333333
today,0.583333333
replace,0.7037
bound,0.5
some,0.666666667
teams,0.7037
amazing,0.75
we,0.75
one,0.555566667
education,0.809533333
sweet,0.904766667
when,0.5926
want,0.666666667
done,0.740733333
right,0.809533333
go,0.625
at,0.5
useless,0.333333333
days,0.722233333
unexpected,0.666666667
workshop,0.740733333
yesterday,0.857133333
amount,0.555566667
info,0.566666667
no,0.410266667
question,0.7619
brother,0.636366667
should,0.518533333
over,0.428566667
people,0.7619
bitching,0.333333333
phone,0.625
ever,0.6923
happy,1
way,0.5926
points,0.4762
bus,0.575766667
well,0.866666667
mobile,0.619033333
devices,0.583333333
talking,0.833333333
application,0.583333333
coach,0.636366667
wants,0.555566667
you,0.7143
